Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit Margin,OrderYear,OrderMonth
1/1/1900,CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,2/20/2016,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,9/17/1900,1/2/1900,1/0/1900,2/10/1900,16.00%,2016,November
1/2/1900,CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,2/20/2016,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",12/31/1901,1/3/1900,1/0/1900,8/6/1900,30.00%,2016,November
1/3/1900,CA-2016-138688,6/12/2016,6/16/2016,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,7/4/2146,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,1/14/1900,1/2/1900,1/0/1900,1/6/1900,47.00%,2016,June
1/4/1900,US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,3/14/1991,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,8/14/1902,1/5/1900,1/0/1900,###############################################################################################################################################################################################################################################################,-40.00%,2015,October
1/5/1900,US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,3/14/1991,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,1/22/1900,1/2/1900,1/0/1900,1/2/1900,11.25%,2015,October
1/6/1900,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,6/30/2146,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",2/17/1900,1/7/1900,1/0/1900,1/14/1900,29.00%,2014,June
1/7/1900,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,6/30/2146,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,1/7/1900,1/4/1900,1/0/1900,1/1/1900,27.00%,2014,June
1/8/1900,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,6/30/2146,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,6/25/1902,1/6/1900,1/0/1900,3/30/1900,10.00%,2014,June
1/9/1900,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,6/30/2146,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,1/18/1900,1/3/1900,1/0/1900,1/5/1900,31.25%,2014,June
1/10/1900,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,6/30/2146,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,4/23/1900,1/5/1900,1/0/1900,2/3/1900,30.00%,2014,June
1/11/1900,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,6/30/2146,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,9/1/1904,1/9/1900,1/0/1900,3/25/1900,5.00%,2014,June
1/12/1900,CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,6/30/2146,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,6/29/1902,1/4/1900,1/0/1900,3/8/1900,7.50%,2014,June
1/13/1900,CA-2017-114412,4/15/2017,4/20/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,9/24/1976,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,1/15/1900,1/3/1900,1/0/1900,1/5/1900,35.00%,2017,April
1/14/1900,CA-2016-161389,12/5/2016,12/10/2016,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,8/4/2168,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,2/10/1901,1/3/1900,1/0/1900,5/11/1900,32.50%,2016,December
1/15/1900,US-2015-118983,11/22/2015,11/26/2015,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,5/14/2108,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",3/8/1900,1/5/1900,1/0/1900,###############################################################################################################################################################################################################################################################,-180.00%,2015,November
